,Label (Grouping),Alabama!!Estimate,Alabama!!Margin of Error,Alabama!!Percent,Alabama!!Percent Margin of Error,Alaska!!Estimate,Alaska!!Margin of Error,Alaska!!Percent,Alaska!!Percent Margin of Error,Arizona!!Estimate,Arizona!!Margin of Error,Arizona!!Percent,Arizona!!Percent Margin of Error,Arkansas!!Estimate,Arkansas!!Margin of Error,Arkansas!!Percent,Arkansas!!Percent Margin of Error,California!!Estimate,California!!Margin of Error,California!!Percent,California!!Percent Margin of Error,Colorado!!Estimate,Colorado!!Margin of Error,Colorado!!Percent,Colorado!!Percent Margin of Error,Connecticut!!Estimate,Connecticut!!Margin of Error,Connecticut!!Percent,Connecticut!!Percent Margin of Error,Delaware!!Estimate,Delaware!!Margin of Error,Delaware!!Percent,Delaware!!Percent Margin of Error,District of Columbia!!Estimate,District of Columbia!!Margin of Error,District of Columbia!!Percent,District of Columbia!!Percent Margin of Error,Florida!!Estimate,Florida!!Margin of Error,Florida!!Percent,Florida!!Percent Margin of Error,Georgia!!Estimate,Georgia!!Margin of Error,Georgia!!Percent,Georgia!!Percent Margin of Error,Hawaii!!Estimate,Hawaii!!Margin of Error,Hawaii!!Percent,Hawaii!!Percent Margin of Error,Idaho!!Estimate,Idaho!!Margin of Error,Idaho!!Percent,Idaho!!Percent Margin of Error,Illinois!!Estimate,Illinois!!Margin of Error,Illinois!!Percent,Illinois!!Percent Margin of Error,Indiana!!Estimate,Indiana!!Margin of Error,Indiana!!Percent,Indiana!!Percent Margin of Error,Iowa!!Estimate,Iowa!!Margin of Error,Iowa!!Percent,Iowa!!Percent Margin of Error,Kansas!!Estimate,Kansas!!Margin of Error,Kansas!!Percent,Kansas!!Percent Margin of Error,Kentucky!!Estimate,Kentucky!!Margin of Error,Kentucky!!Percent,Kentucky!!Percent Margin of Error,Louisiana!!Estimate,Louisiana!!Margin of Error,Louisiana!!Percent,Louisiana!!Percent Margin of Error,Maine!!Estimate,Maine!!Margin of Error,Maine!!Percent,Maine!!Percent Margin of Error,Maryland!!Estimate,Maryland!!Margin of Error,Maryland!!Percent,Maryland!!Percent Margin of Error,Massachusetts!!Estimate,Massachusetts!!Margin of Error,Massachusetts!!Percent,Massachusetts!!Percent Margin of Error,Michigan!!Estimate,Michigan!!Margin of Error,Michigan!!Percent,Michigan!!Percent Margin of Error,Minnesota!!Estimate,Minnesota!!Margin of Error,Minnesota!!Percent,Minnesota!!Percent Margin of Error,Mississippi!!Estimate,Mississippi!!Margin of Error,Mississippi!!Percent,Mississippi!!Percent Margin of Error,Missouri!!Estimate,Missouri!!Margin of Error,Missouri!!Percent,Missouri!!Percent Margin of Error,Montana!!Estimate,Montana!!Margin of Error,Montana!!Percent,Montana!!Percent Margin of Error,Nebraska!!Estimate,Nebraska!!Margin of Error,Nebraska!!Percent,Nebraska!!Percent Margin of Error,Nevada!!Estimate,Nevada!!Margin of Error,Nevada!!Percent,Nevada!!Percent Margin of Error,New Hampshire!!Estimate,New Hampshire!!Margin of Error,New Hampshire!!Percent,New Hampshire!!Percent Margin of Error,New Jersey!!Estimate,New Jersey!!Margin of Error,New Jersey!!Percent,New Jersey!!Percent Margin of Error,New Mexico!!Estimate,New Mexico!!Margin of Error,New Mexico!!Percent,New Mexico!!Percent Margin of Error,New York!!Estimate,New York!!Margin of Error,New York!!Percent,New York!!Percent Margin of Error,North Carolina!!Estimate,North Carolina!!Margin of Error,North Carolina!!Percent,North Carolina!!Percent Margin of Error,North Dakota!!Estimate,North Dakota!!Margin of Error,North Dakota!!Percent,North Dakota!!Percent Margin of Error,Ohio!!Estimate,Ohio!!Margin of Error,Ohio!!Percent,Ohio!!Percent Margin of Error,Oklahoma!!Estimate,Oklahoma!!Margin of Error,Oklahoma!!Percent,Oklahoma!!Percent Margin of Error,Oregon!!Estimate,Oregon!!Margin of Error,Oregon!!Percent,Oregon!!Percent Margin of Error,Pennsylvania!!Estimate,Pennsylvania!!Margin of Error,Pennsylvania!!Percent,Pennsylvania!!Percent Margin of Error,Rhode Island!!Estimate,Rhode Island!!Margin of Error,Rhode Island!!Percent,Rhode Island!!Percent Margin of Error,South Carolina!!Estimate,South Carolina!!Margin of Error,South Carolina!!Percent,South Carolina!!Percent Margin of Error,South Dakota!!Estimate,South Dakota!!Margin of Error,South Dakota!!Percent,South Dakota!!Percent Margin of Error,Tennessee!!Estimate,Tennessee!!Margin of Error,Tennessee!!Percent,Tennessee!!Percent Margin of Error,Texas!!Estimate,Texas!!Margin of Error,Texas!!Percent,Texas!!Percent Margin of Error,Utah!!Estimate,Utah!!Margin of Error,Utah!!Percent,Utah!!Percent Margin of Error,Vermont!!Estimate,Vermont!!Margin of Error,Vermont!!Percent,Vermont!!Percent Margin of Error,Virginia!!Estimate,Virginia!!Margin of Error,Virginia!!Percent,Virginia!!Percent Margin of Error,Washington!!Estimate,Washington!!Margin of Error,Washington!!Percent,Washington!!Percent Margin of Error,West Virginia!!Estimate,West Virginia!!Margin of Error,West Virginia!!Percent,West Virginia!!Percent Margin of Error,Wisconsin!!Estimate,Wisconsin!!Margin of Error,Wisconsin!!Percent,Wisconsin!!Percent Margin of Error,Wyoming!!Estimate,Wyoming!!Margin of Error,Wyoming!!Percent,Wyoming!!Percent Margin of Error,Puerto Rico!!Estimate,Puerto Rico!!Margin of Error,Puerto Rico!!Percent,Puerto Rico!!Percent Margin of Error
ROOMS,        6 rooms,"482,058","±11,285",20.80%,±0.5,"47,867","±3,372",14.60%,±1.0,"595,516","±11,389",19.00%,±0.4,"271,562","±8,500",19.70%,±0.6,"2,444,308","±23,690",16.80%,±0.2,"375,043","±9,527",14.80%,±0.4,"270,207","±7,470",17.60%,±0.5,"86,165","±4,595",18.80%,±1.0,"31,847","±3,159",8.90%,±0.9,"1,843,458","±21,562",18.30%,±0.2,"818,483","±16,604",18.30%,±0.4,"84,907","±4,163",15.00%,±0.7,"121,528","±6,082",15.70%,±0.8,"962,334","±11,048",17.70%,±0.2,"557,029","±12,652",18.90%,±0.4,"236,421","±7,366",16.60%,±0.5,"216,796","±5,731",16.90%,±0.4,"368,980","±9,852",18.40%,±0.5,"418,541","±12,110",20.00%,±0.6,"132,784","±4,630",17.80%,±0.6,"400,621","±10,758",15.70%,±0.4,"516,728","±11,131",17.10%,±0.4,"883,180","±12,402",19.20%,±0.3,"376,590","±8,421",15.00%,±0.3,"266,530","±9,350",20.00%,±0.7,"517,302","±10,667",18.40%,±0.4,"83,355","±4,495",16.00%,±0.9,"131,722","±4,918",15.40%,±0.6,"233,431","±9,037",17.90%,±0.7,"111,816","±5,463",17.40%,±0.8,"572,866","±12,451",15.20%,±0.3,"187,604","±8,289",19.80%,±0.9,"1,224,421","±15,831",14.40%,±0.2,"850,575","±16,222",17.70%,±0.3,"48,526","±4,014",13.00%,±1.1,"1,014,619","±15,706",19.30%,±0.3,"360,469","±7,368",20.50%,±0.4,"313,099","±9,564",17.00%,±0.5,"1,176,596","±17,204",20.40%,±0.3,"90,456","±5,307",18.70%,±1.1,"465,044","±10,354",19.40%,±0.4,"57,554","±3,923",14.40%,±1.0,"568,483","±13,317",18.40%,±0.4,"2,088,799","±26,559",17.60%,±0.2,"151,571","±6,466",12.70%,±0.5,"54,076","±2,721",16.10%,±0.8,"587,812","±14,335",16.10%,±0.4,"521,248","±11,873",16.00%,±0.4,"186,998","±7,867",21.80%,±0.9,"476,173","±10,072",17.30%,±0.4,"43,101","±3,609",15.70%,±1.3,"204,985","±7,022",13.40%,±0.4
ROOMS,        7 rooms,"317,323","±10,202",13.70%,±0.4,"26,872","±2,939",8.20%,±0.9,"372,696","±10,615",11.90%,±0.3,"169,968","±6,242",12.30%,±0.5,"1,486,903","±16,634",10.20%,±0.1,"291,076","±7,958",11.50%,±0.3,"183,039","±7,037",11.90%,±0.5,"71,366","±4,056",15.60%,±0.9,"22,404","±2,421",6.30%,±0.7,"1,069,122","±15,283",10.60%,±0.2,"602,137","±15,571",13.50%,±0.3,"45,431","±3,527",8.00%,±0.6,"97,471","±6,334",12.60%,±0.8,"646,175","±12,063",11.90%,±0.2,"409,078","±11,651",13.90%,±0.4,"186,506","±5,979",13.10%,±0.4,"169,325","±6,168",13.20%,±0.5,"257,438","±8,093",12.80%,±0.4,"255,978","±7,776",12.20%,±0.4,"92,697","±3,740",12.40%,±0.5,"322,850","±9,630",12.70%,±0.4,"359,672","±9,939",11.90%,±0.3,"619,075","±11,442",13.50%,±0.2,"317,998","±7,768",12.60%,±0.3,"186,418","±7,896",14.00%,±0.6,"348,963","±9,810",12.40%,±0.3,"59,784","±3,236",11.50%,±0.6,"109,368","±4,792",12.80%,±0.6,"146,046","±5,771",11.20%,±0.4,"82,531","±4,190",12.80%,±0.7,"462,949","±11,449",12.20%,±0.3,"108,543","±5,365",11.40%,±0.6,"845,297","±13,846",9.90%,±0.2,"590,123","±13,629",12.30%,±0.3,"39,214","±3,259",10.50%,±0.9,"752,117","±13,661",14.30%,±0.3,"220,126","±5,904",12.50%,±0.3,"206,903","±6,946",11.30%,±0.4,"845,562","±12,869",14.70%,±0.2,"55,208","±3,836",11.40%,±0.8,"322,476","±9,497",13.50%,±0.4,"48,910","±3,673",12.20%,±0.9,"404,525","±10,864",13.10%,±0.4,"1,319,767","±25,206",11.10%,±0.2,"132,462","±6,170",11.10%,±0.5,"42,483","±2,699",12.60%,±0.8,"465,313","±9,972",12.70%,±0.3,"372,158","±9,244",11.40%,±0.3,"111,777","±4,572",13.00%,±0.5,"343,013","±7,021",12.50%,±0.3,"31,945","±2,881",11.60%,±1.1,"62,540","±3,931",4.10%,±0.3
ROOMS,        8 rooms,"230,651","±7,382",10.00%,±0.3,"21,016","±2,426",6.40%,±0.7,"248,322","±8,311",7.90%,±0.3,"111,374","±5,854",8.10%,±0.4,"1,054,171","±13,534",7.30%,±0.1,"249,436","±7,550",9.80%,±0.3,"149,909","±6,213",9.80%,±0.4,"54,179","±3,223",11.80%,±0.7,"18,988","±2,231",5.30%,±0.6,"735,342","±16,585",7.30%,±0.2,"468,200","±12,847",10.50%,±0.3,"34,991","±2,841",6.20%,±0.5,"76,948","±5,101",9.90%,±0.7,"494,040","±9,017",9.10%,±0.2,"296,155","±8,895",10.00%,±0.3,"153,226","±5,883",10.70%,±0.4,"136,454","±5,355",10.60%,±0.4,"192,972","±7,096",9.60%,±0.4,"177,207","±6,676",8.50%,±0.3,"64,320","±3,747",8.60%,±0.5,"298,335","±8,657",11.70%,±0.3,"279,862","±7,572",9.30%,±0.3,"449,458","±8,527",9.80%,±0.2,"277,234","±6,878",11.00%,±0.3,"117,954","±5,425",8.90%,±0.4,"256,044","±9,486",9.10%,±0.3,"50,093","±3,748",9.60%,±0.7,"92,710","±4,219",10.90%,±0.5,"105,305","±4,491",8.10%,±0.3,"61,517","±3,283",9.60%,±0.5,"400,397","±9,884",10.60%,±0.3,"77,170","±5,030",8.10%,±0.5,"673,342","±11,688",7.90%,±0.1,"420,342","±11,334",8.80%,±0.2,"38,927","±2,976",10.40%,±0.8,"548,750","±9,767",10.40%,±0.2,"133,610","±3,982",7.60%,±0.2,"154,061","±6,480",8.40%,±0.4,"645,587","±12,607",11.20%,±0.2,"38,323","±3,656",7.90%,±0.8,"225,845","±7,863",9.40%,±0.3,"46,490","±3,008",11.60%,±0.8,"295,979","±10,349",9.60%,±0.3,"988,588","±22,000",8.30%,±0.2,"131,052","±6,247",11.00%,±0.5,"34,835","±2,537",10.30%,±0.8,"415,069","±9,212",11.40%,±0.3,"303,059","±7,509",9.30%,±0.2,"85,934","±5,163",10.00%,±0.6,"252,613","±6,730",9.20%,±0.2,"27,843","±2,809",10.10%,±1.0,"28,233","±2,339",1.80%,±0.2
ROOMS,        9 rooms or more,"292,308","±7,816",12.60%,±0.3,"31,621","±2,874",9.60%,±0.9,"270,311","±9,908",8.60%,±0.3,"135,378","±6,238",9.80%,±0.5,"1,048,783","±16,920",7.20%,±0.1,"454,563","±8,581",17.90%,±0.3,"197,035","±5,708",12.80%,±0.4,"85,502","±4,177",18.70%,±0.9,"29,761","±2,220",8.30%,±0.6,"715,752","±14,945",7.10%,±0.1,"744,186","±17,223",16.60%,±0.4,"39,114","±3,227",6.90%,±0.6,"134,680","±6,192",17.40%,±0.8,"756,576","±12,843",13.90%,±0.2,"435,504","±9,684",14.80%,±0.3,"249,990","±6,824",17.50%,±0.5,"228,733","±5,540",17.80%,±0.4,"268,104","±8,343",13.40%,±0.4,"193,756","±6,851",9.30%,±0.3,"81,003","±4,040",10.90%,±0.5,"561,052","±8,990",22.00%,±0.4,"378,323","±8,660",12.50%,±0.3,"661,299","±10,473",14.40%,±0.2,"518,881","±8,449",20.60%,±0.3,"143,159","±7,641",10.70%,±0.6,"389,667","±9,286",13.90%,±0.3,"82,170","±4,316",15.70%,±0.8,"171,302","±4,831",20.10%,±0.6,"114,056","±4,874",8.70%,±0.4,"83,636","±4,526",13.00%,±0.7,"590,215","±11,482",15.60%,±0.3,"80,986","±4,383",8.50%,±0.5,"856,736","±11,306",10.00%,±0.1,"607,563","±12,763",12.70%,±0.3,"71,018","±3,575",19.00%,±1.0,"779,489","±12,369",14.80%,±0.2,"164,837","±5,651",9.40%,±0.3,"198,636","±6,342",10.80%,±0.3,"892,487","±11,338",15.50%,±0.2,"51,583","±3,434",10.60%,±0.7,"294,217","±8,197",12.30%,±0.3,"73,848","±3,463",18.40%,±0.9,"422,607","±9,904",13.70%,±0.3,"1,239,745","±20,901",10.40%,±0.2,"313,644","±7,070",26.40%,±0.6,"44,880","±2,546",13.30%,±0.8,"686,922","±12,580",18.80%,±0.3,"434,852","±8,427",13.40%,±0.3,"116,897","±5,566",13.60%,±0.6,"365,715","±7,371",13.30%,±0.3,"46,095","±3,556",16.80%,±1.3,"16,585","±1,820",1.10%,±0.1
ROOMS,        Median rooms,5.8,±0.2,(X),(X),4.9,±0.1,(X),(X),5.4,±0.1,(X),(X),5.5,±0.1,(X),(X),5.1,±0.1,(X),(X),5.8,±0.1,(X),(X),5.6,±0.1,(X),(X),6.3,±0.1,(X),(X),3.8,±0.1,(X),(X),5.2,±0.1,(X),(X),6,±0.1,(X),(X),4.7,±0.2,(X),(X),5.9,±0.2,(X),(X),5.6,±0.2,(X),(X),5.9,±0.1,(X),(X),6,±0.1,(X),(X),6,±0.1,(X),(X),5.7,±0.1,(X),(X),5.5,±0.1,(X),(X),5.5,±0.1,(X),(X),6.3,±0.1,(X),(X),5.5,±0.2,(X),(X),5.9,±0.1,(X),(X),6.1,±0.1,(X),(X),5.7,±0.1,(X),(X),5.7,±0.1,(X),(X),5.7,±0.1,(X),(X),6.1,±0.1,(X),(X),5.3,±0.1,(X),(X),5.7,±0.2,(X),(X),5.7,±0.1,(X),(X),5.4,±0.1,(X),(X),5,±0.1,(X),(X),5.6,±0.1,(X),(X),5.7,±0.2,(X),(X),6,±0.1,(X),(X),5.5,±0.1,(X),(X),5.4,±0.1,(X),(X),6.1,±0.1,(X),(X),5.4,±0.1,(X),(X),5.7,±0.1,(X),(X),6,±0.2,(X),(X),5.8,±0.1,(X),(X),5.4,±0.1,(X),(X),6.4,±0.1,(X),(X),5.6,±0.2,(X),(X),6.1,±0.1,(X),(X),5.5,±0.1,(X),(X),5.9,±0.1,(X),(X),5.6,±0.1,(X),(X),5.8,±0.2,(X),(X),4.7,±0.1,(X),(X)
BEDROOMS,    Total housing units,"2,313,616",±360,"2,313,616",(X),"327,889",±219,"327,889",(X),"3,138,685",±419,"3,138,685",(X),"1,380,768",±294,"1,380,768",(X),"14,512,149","±1,218","14,512,149",(X),"2,540,783",±353,"2,540,783",(X),"1,536,327",±369,"1,536,327",(X),"457,978",±419,"457,978",(X),"357,482",±47,"357,482",(X),"10,054,509",±692,"10,054,509",(X),"4,475,242",±715,"4,475,242",(X),"564,878",±118,"564,878",(X),"775,330",±165,"775,330",(X),"5,440,294",±583,"5,440,294",(X),"2,950,121",±809,"2,950,121",(X),"1,426,039",±267,"1,426,039",(X),"1,284,353",±200,"1,284,353",(X),"2,008,227",±316,"2,008,227",(X),"2,093,387",±356,"2,093,387",(X),"744,620",±973,"744,620",(X),"2,546,364",±423,"2,546,364",(X),"3,017,772",±315,"3,017,772",(X),"4,590,384",±648,"4,590,384",(X),"2,517,173",±542,"2,517,173",(X),"1,332,041",±222,"1,332,041",(X),"2,807,632",±277,"2,807,632",(X),"521,916",±188,"521,916",(X),"854,298",±175,"854,298",(X),"1,305,534",±192,"1,305,534",(X),"643,979",±131,"643,979",(X),"3,779,591","±1,544","3,779,591",(X),"948,042",±368,"948,042",(X),"8,530,561",±867,"8,530,561",(X),"4,801,698",±420,"4,801,698",(X),"374,435",±225,"374,435",(X),"5,269,498",±445,"5,269,498",(X),"1,762,113",±243,"1,762,113",(X),"1,837,009",±316,"1,837,009",(X),"5,770,472",±639,"5,770,472",(X),"484,925",±184,"484,925",(X),"2,395,957",±268,"2,395,957",(X),"400,688",±380,"400,688",(X),"3,087,992",±386,"3,087,992",(X),"11,867,820","±1,642","11,867,820",(X),"1,190,154",±220,"1,190,154",(X),"336,747",±140,"336,747",(X),"3,652,329",±452,"3,652,329",(X),"3,257,140",±888,"3,257,140",(X),"858,462",±264,"858,462",(X),"2,748,274","±1,039","2,748,274",(X),"274,373",±94,"274,373",(X),"1,526,801","±7,559","1,526,801",(X)
BEDROOMS,        No bedroom,"29,913","±3,219",1.30%,±0.1,"21,432","±2,803",6.50%,±0.9,"95,589","±5,346",3.00%,±0.2,"28,074","±3,666",2.00%,±0.3,"715,103","±17,432",4.90%,±0.1,"71,118","±4,035",2.80%,±0.2,"41,263","±3,831",2.70%,±0.2,"7,048","±1,670",1.50%,±0.4,"39,104","±3,334",10.90%,±0.9,"228,122","±11,600",2.30%,±0.1,"63,751","±5,566",1.40%,±0.1,"33,838","±2,892",6.00%,±0.5,"15,446","±2,021",2.00%,±0.3,"156,722","±8,002",2.90%,±0.1,"50,655","±4,691",1.70%,±0.2,"26,802","±2,820",1.90%,±0.2,"33,375","±3,524",2.60%,±0.3,"32,639","±3,765",1.60%,±0.2,"38,299","±3,981",1.80%,±0.2,"20,042","±2,110",2.70%,±0.3,"51,962","±3,869",2.00%,±0.2,"87,569","±5,473",2.90%,±0.2,"76,417","±4,968",1.70%,±0.1,"64,584","±4,665",2.60%,±0.2,"21,904","±2,601",1.60%,±0.2,"51,862","±4,166",1.80%,±0.1,"11,974","±1,750",2.30%,±0.3,"23,920","±2,706",2.80%,±0.3,"45,288","±3,859",3.50%,±0.3,"11,502","±1,729",1.80%,±0.3,"111,435","±6,471",2.90%,±0.2,"29,292","±3,092",3.10%,±0.3,"442,730","±16,377",5.20%,±0.2,"84,757","±5,281",1.80%,±0.1,"11,894","±2,398",3.20%,±0.6,"88,135","±5,460",1.70%,±0.1,"34,908","±3,141",2.00%,±0.2,"69,541","±5,282",3.80%,±0.3,"133,070","±6,865",2.30%,±0.1,"13,931","±2,142",2.90%,±0.4,"36,200","±4,349",1.50%,±0.2,"7,689","±1,621",1.90%,±0.4,"52,923","±4,933",1.70%,±0.2,"325,292","±13,250",2.70%,±0.1,"25,170","±2,905",2.10%,±0.2,"12,904","±2,060",3.80%,±0.6,"65,435","±5,059",1.80%,±0.1,"138,080","±7,795",4.20%,±0.2,"19,101","±2,752",2.20%,±0.3,"55,817","±3,695",2.00%,±0.1,"5,590","±1,650",2.00%,±0.6,"29,808","±2,701",2.00%,±0.2
BEDROOMS,        1 bedroom,"138,030","±7,004",6.00%,±0.3,"42,382","±3,217",12.90%,±1.0,"318,899","±9,923",10.20%,±0.3,"97,986","±6,042",7.10%,±0.4,"1,926,830","±23,892",13.30%,±0.2,"284,256","±8,567",11.20%,±0.3,"192,303","±8,473",12.50%,±0.6,"30,388","±2,600",6.60%,±0.6,"119,469","±5,385",33.40%,±1.5,"999,715","±16,617",9.90%,±0.2,"326,557","±12,039",7.30%,±0.3,"69,910","±4,006",12.40%,±0.7,"50,116","±4,042",6.50%,±0.5,"624,866","±14,123",11.50%,±0.3,"258,792","±8,727",8.80%,±0.3,"126,901","±5,613",8.90%,±0.4,"118,684","±6,029",9.20%,±0.5,"163,155","±6,772",8.10%,±0.3,"178,869","±8,969",8.50%,±0.4,"86,391","±4,605",11.60%,±0.6,"253,813","±8,770",10.00%,±0.3,"403,528","±9,381",13.40%,±0.3,"402,540","±9,468",8.80%,±0.2,"278,180","±7,518",11.10%,±0.3,"80,834","±5,794",6.10%,±0.4,"266,763","±8,492",9.50%,±0.3,"54,752","±3,452",10.50%,±0.7,"89,279","±4,496",10.50%,±0.5,"133,771","±7,179",10.20%,±0.5,"72,586","±4,281",11.30%,±0.7,"521,175","±9,837",13.80%,±0.3,"82,548","±5,367",8.70%,±0.6,"1,628,800","±20,634",19.10%,±0.2,"337,193","±10,988",7.00%,±0.2,"33,945","±3,074",9.10%,±0.8,"497,030","±13,838",9.40%,±0.3,"153,309","±5,689",8.70%,±0.3,"185,893","±8,139",10.10%,±0.4,"585,109","±13,246",10.10%,±0.2,"67,262","±3,876",13.90%,±0.8,"141,297","±7,040",5.90%,±0.3,"36,115","±2,835",9.00%,±0.7,"244,709","±8,037",7.90%,±0.3,"1,512,863","±20,000",12.70%,±0.2,"87,797","±4,835",7.40%,±0.4,"36,024","±2,363",10.70%,±0.7,"309,980","±8,343",8.50%,±0.2,"377,411","±9,815",11.60%,±0.3,"58,773","±3,762",6.80%,±0.4,"272,858","±7,475",9.90%,±0.3,"24,261","±2,653",8.80%,±1.0,"86,332","±4,637",5.70%,±0.3
BEDROOMS,        2 bedrooms,"509,868","±11,889",22.00%,±0.5,"81,263","±4,058",24.80%,±1.2,"817,893","±12,844",26.10%,±0.4,"334,512","±8,947",24.20%,±0.6,"3,874,448","±29,914",26.70%,±0.2,"603,547","±10,922",23.80%,±0.4,"406,757","±8,363",26.50%,±0.5,"92,325","±4,548",20.20%,±1.0,"91,694","±4,482",25.60%,±1.3,"3,205,998","±27,385",31.90%,±0.3,"948,857","±17,238",21.20%,±0.4,"145,687","±6,040",25.80%,±1.1,"171,939","±5,967",22.20%,±0.8,"1,506,492","±17,290",27.70%,±0.3,"727,965","±12,494",24.70%,±0.4,"381,002","±8,316",26.70%,±0.6,"327,182","±8,217",25.50%,±0.6,"508,062","±9,938",25.30%,±0.5,"474,110","±11,622",22.60%,±0.6,"212,820","±6,078",28.60%,±0.8,"536,144","±12,727",21.10%,±0.5,"833,634","±12,362",27.60%,±0.4,"1,136,784","±13,635",24.80%,±0.3,"618,640","±10,976",24.60%,±0.4,"280,196","±8,196",21.00%,±0.6,"714,382","±13,232",25.40%,±0.5,"136,194","±5,245",26.10%,±1.0,"214,069","±6,836",25.10%,±0.8,"319,153","±8,407",24.40%,±0.6,"190,697","±6,256",29.60%,±1.0,"966,179","±14,797",25.60%,±0.4,"221,702","±6,815",23.40%,±0.7,"2,244,029","±26,738",26.30%,±0.3,"1,160,045","±19,400",24.20%,±0.4,"107,420","±4,301",28.70%,±1.1,"1,318,000","±15,992",25.00%,±0.3,"411,247","±8,112",23.30%,±0.5,"476,227","±10,311",25.90%,±0.6,"1,278,971","±15,556",22.20%,±0.3,"144,772","±5,436",29.90%,±1.1,"551,418","±12,772",23.00%,±0.5,"104,535","±3,515",26.10%,±0.9,"742,399","±15,044",24.00%,±0.5,"2,510,708","±30,356",21.20%,±0.3,"219,274","±6,554",18.40%,±0.6,"85,875","±3,655",25.50%,±1.1,"821,147","±14,595",22.50%,±0.4,"786,040","±12,970",24.10%,±0.4,"226,856","±7,100",26.40%,±0.8,"756,763","±11,780",27.50%,±0.4,"64,467","±3,555",23.50%,±1.3,"299,660","±8,466",19.60%,±0.6
BEDROOMS,        3 bedrooms,"1,138,108","±13,329",49.20%,±0.6,"117,994","±4,422",36.00%,±1.3,"1,173,259","±15,704",37.40%,±0.5,"685,447","±11,380",49.60%,±0.8,"4,794,093","±28,308",33.00%,±0.2,"838,585","±12,332",33.00%,±0.5,"557,262","±10,536",36.30%,±0.7,"198,613","±5,612",43.40%,±1.2,"66,699","±3,963",18.70%,±1.1,"3,848,004","±30,229",38.30%,±0.3,"1,843,845","±23,573",41.20%,±0.5,"190,832","±5,959",33.80%,±1.1,"321,209","±7,855",41.40%,±1.0,"1,954,644","±19,636",35.90%,±0.4,"1,292,100","±12,072",43.80%,±0.4,"543,441","±8,730",38.10%,±0.6,"462,079","±9,569",36.00%,±0.7,"905,442","±14,433",45.10%,±0.7,"1,009,228","±14,670",48.20%,±0.7,"291,497","±6,724",39.10%,±0.9,"924,663","±12,678",36.30%,±0.5,"1,050,357","±13,084",34.80%,±0.4,"1,999,009","±15,460",43.50%,±0.3,"821,541","±10,345",32.60%,±0.4,"694,826","±10,553",52.20%,±0.8,"1,180,906","±12,938",42.10%,±0.5,"189,890","±5,435",36.40%,±1.0,"307,634","±6,999",36.00%,±0.8,"490,533","±8,789",37.60%,±0.7,"239,445","±6,229",37.20%,±1.0,"1,189,816","±14,648",31.50%,±0.4,"442,576","±7,704",46.70%,±0.8,"2,666,465","±24,931",31.30%,±0.3,"2,224,160","±21,677",46.30%,±0.5,"121,110","±5,382",32.30%,±1.4,"2,215,295","±16,509",42.00%,±0.3,"847,654","±9,306",48.10%,±0.5,"758,675","±12,344",41.30%,±0.7,"2,477,895","±21,611",42.90%,±0.4,"181,569","±6,441",37.40%,±1.3,"1,143,478","±16,011",47.70%,±0.7,"135,280","±4,996",33.80%,±1.2,"1,414,035","±15,212",45.80%,±0.5,"4,749,944","±31,507",40.00%,±0.3,"343,867","±7,704",28.90%,±0.6,"136,182","±4,008",40.40%,±1.2,"1,398,133","±16,743",38.30%,±0.5,"1,188,437","±14,508",36.50%,±0.4,"399,965","±6,996",46.60%,±0.8,"1,112,507","±12,097",40.50%,±0.4,"108,016","±4,179",39.40%,±1.5,"883,194","±11,358",57.80%,±0.7
